movieId,title,year,count,mean,bayesian_avg
0,1,Toy Story,1995,10464,3.8868501529051986,3.875
1,2,Jumanji,1995,4206,3.2250356633380886,3.22
2,3,Grumpier Old Men,1995,2676,3.210949177877429,3.204
3,4,Waiting to Exhale,1995,534,2.851123595505618,2.907
4,5,Father of the Bride Part II,1995,2674,3.093679880329095,3.093
5,6,Heat,1995,4627,3.8133779987032637,3.789
6,7,Sabrina,1995,2674,3.37378459237098,3.357
7,8,Tom and Huck,1995,266,3.0733082706766917,3.08
8,9,Sudden Death,1995,800,3.006875,3.021
9,10,GoldenEye,1995,5471,3.4382197038932554,3.428
10,11,"American President, The",1995,3219,3.6599875737806773,3.633
11,12,Dracula: Dead and Loving It,1995,747,2.6599732262382867,2.737
12,13,Balto,1995,287,3.299651567944251,3.224
13,14,Nixon,1995,1184,3.442989864864865,3.4
14,15,Cutthroat Island,1995,519,2.7620423892100194,2.841
15,16,Casino,1995,3334,3.778644271145771,3.747
16,17,Sense and Sensibility,1995,4081,3.9563832394021072,3.923
17,18,Four Rooms,1995,1003,3.40777666999003,3.363
18,19,Ace Ventura: When Nature Calls,1995,4003,2.619785161129153,2.638
19,20,Money Train,1995,766,2.9157963446475197,2.946
20,21,Get Shorty,1995,4333,3.5546965151165475,3.538
21,22,Copycat,1995,1900,3.3057894736842104,3.289
22,23,Assassins,1995,817,3.1744186046511627,3.16
23,24,Powder,1995,1536,3.1927083333333335,3.183
24,25,Leaving Las Vegas,1995,4180,3.692224880382775,3.67
25,26,Othello,1995,539,3.557513914656772,3.449
26,27,Now and Then,1995,343,3.425655976676385,3.318
27,28,Persuasion,1995,595,4.0588235294117645,3.85
28,29,"City of Lost Children, The (Cité des enfants perdus, La)",1995,1669,3.9541641701617736,3.877
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,213,3.6549295774647885,3.41
30,31,Dangerous Minds,1995,1962,3.2550968399592253,3.242
31,32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,8690,3.8878596087456847,3.873
32,34,Babe,1995,5949,3.632375189107413,3.618
33,36,Dead Man Walking,1995,4002,3.9427786106946527,3.909
34,38,It Takes Two,1995,104,2.9663461538461537,3.042
35,39,Clueless,1995,4765,3.4181532004197273,3.407
36,40,"Cry, the Beloved Country",1995,173,3.6705202312138727,3.389
37,41,Richard III,1995,849,3.8215547703180213,3.704
38,42,Dead Presidents,1995,405,3.039506172839506,3.054
39,43,Restoration,1995,457,3.4551422319474834,3.359
40,44,Mortal Kombat,1995,2189,2.6546368204659663,2.685
41,45,To Die For,1995,1641,3.3519195612431445,3.328
42,46,How to Make an American Quilt,1995,591,3.3121827411167515,3.264
43,47,Seven (a.k.a. Se7en),1995,8313,4.065980993624444,4.047
44,48,Pocahontas,1995,2696,2.9525222551928785,2.96
45,49,When Night Is Falling,1995,40,3.3,3.132
46,50,"Usual Suspects, The",1995,9236,4.318319618882633,4.297
